State,Station,January ,February ,March,April,May,June,July,August,September,October,November,December,,,
Alabama ,Mobile,84,82,90,94,100,102,104,105,99,93,87,81,,,
Alaska ,Juneau,57,57,61,74,82,86,90,84,73,61,56,54,,,
Arizona ,Phoenix,88,92,100,105,113,122,121,116,118,107,95,88,,,
Arkansas ,Little Rock,83,85,91,95,98,105,112,109,106,97,86,80,,,
California ,Los Angeles,91,92,95,102,97,104,97,98,110,106,101,94,,,
,Sacramento,70,76,88,95,105,115,114,110,108,104,87,72,,,
,San Diego,88,90,93,98,96,101,99,98,111,107,97,88,,,
,San Francisco,72,78,85,92,97,106,105,100,103,99,85,75,,,
Colorado ,Denver,73,77,84,90,96,104,105,101,97,89,80,75,,,
Connecticut ,Hartford,72,73,89,96,99,100,102,102,99,91,81,76,,,
Delaware ,Wilmington,75,78,86,94,96,100,102,101,100,91,85,75,,,
District of Columbia ,Washington,79,82,89,95,99,101,104,105,101,94,86,79,,,D
Florida ,Jacksonville,85,88,91,95,100,103,105,102,100,96,88,84,,,
,Miami,88,89,93,96,96,98,98,98,97,95,91,87,,,
Georgia ,Atlanta,79,80,89,93,95,101,105,104,98,95,84,79,,,
Hawaii ,Honolulu,88,88,88,91,93,92,94,93,95,94,93,89,,,
Idaho ,Boise,63,71,81,92,99,109,111,110,102,94,78,65,,,
Illinois ,Chicago,65,72,88,91,93,104,104,101,99,91,78,71,,,
,Peoria,70,72,86,92,94,105,104,103,100,93,81,71,,,
Indiana ,Indianapolis,71,76,85,89,93,102,104,102,100,91,81,74,,,
Iowa ,Des Moines,67,73,91,93,98,103,105,108,101,95,81,69,,,
Kansas ,Wichita,75,87,89,96,100,110,113,110,108,97,86,83,,,
Kentucky ,Louisville,77,77,86,91,95,102,106,105,104,93,84,76,,,
Louisiana ,New Orleans,83,85,89,92,96,100,101,102,101,94,87,84,,,
Maine ,Portland,67,64,88,85,94,98,99,103,95,88,74,71,,,
Maryland ,Baltimore,75,79,89,94,98,101,104,105,100,94,83,77,,,
Massachusetts ,Boston,69,70,89,94,95,100,102,102,100,90,79,76,,,
Michigan ,Detroit,62,70,81,89,93,104,102,100,98,91,77,69,,,
,Sault Ste. Marie,45,49,75,85,89,93,97,98,95,81,67,62,,,
Minnesota ,Duluth,52,55,78,88,90,94,97,97,95,86,71,55,,,
,Minneapolis-St. Paul,58,61,83,95,97,102,105,102,98,90,77,68,,,
Mississippi ,Jackson,83,85,89,94,99,105,106,107,104,95,88,84,,,
Missouri ,Kansas City,71,78,86,93,95,105,107,109,106,95,82,74,,,
,St. Louis,76,85,89,93,94,102,107,107,104,94,85,76,,,
Montana ,Great Falls,67,70,78,89,93,101,105,106,98,91,76,69,,,
Nebraska ,Omaha,69,78,89,97,99,105,114,110,104,96,83,72,,,
Nevada ,Reno,71,75,83,89,97,103,108,105,101,91,77,70,,,
New Hampshire ,Concord,69,67,89,95,97,98,102,101,98,90,80,73,,,
New Jersey ,Atlantic City,78,75,87,94,99,106,104,103,99,90,84,77,,,
New Mexico ,Albuquerque,69,76,85,89,98,107,105,101,100,91,77,72,,,
New York ,Albany,71,68,89,92,94,99,100,99,100,89,82,71,,,
,Buffalo,72,71,81,94,91,96,97,99,98,87,80,74,,,
,New York \2,72,75,86,96,99,101,106,104,102,94,84,75,,,
North Carolina ,Charlotte,79,81,90,93,100,103,103,104,104,98,85,80,,,
,Raleigh,80,84,92,95,97,104,105,105,104,98,88,81,,,
North Dakota ,Bismarck,63,69,81,93,98,111,112,109,105,95,79,65,,,
Ohio ,Cincinnati,69,75,84,89,93,102,103,102,98,91,81,75,,,
,Cleveland,73,74,83,88,92,104,103,102,101,90,82,77,,,
,Columbus,74,75,85,89,94,102,100,101,100,91,80,76,,,
Oklahoma ,Oklahoma City,80,92,93,100,104,105,110,110,108,96,87,86,,,
Oregon ,Portland,66,71,80,90,100,102,107,107,105,92,73,65,,,
Pennsylvania ,Philadelphia,74,74,87,95,97,100,104,101,100,96,81,73,,,
